コード,銘柄名,市場・商品区分
1591,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経インデックス４００連動型上場投信,ETF・ETN
1592,上場インデックスファンドＪＰＸ日経インデックス４００,ETF・ETN
1593,ＭＡＸＩＳ　ＪＰＸ日経インデックス４００上場投信,ETF・ETN
1595,ＮＺＡＭ　上場投信　東証ＲＥＩＴ指数,ETF・ETN
1596,ＮＺＡＭ　上場投信　ＴＯＰＩＸ　Ｅｘ−Ｆｉｎａｎｃｉａｌｓ,ETF・ETN
1597,ＭＡＸＩＳ　Ｊリート上場投信,ETF・ETN
1598,ＮＥＸＴ　ＦＵＮＤＳ　Ｒ／Ｎファンダメンタル・インデックス上場投信,ETF・ETN
1599,ダイワ上場投信−ＪＰＸ日経４００,ETF・ETN
1605,国際石油開発帝石,市場第一部（内国株）
1615,ＮＥＸＴ　ＦＵＮＤＳ　東証銀行業株価指数連動型上場投信,ETF・ETN
1617,ＮＥＸＴ　ＦＵＮＤＳ　食品（ＴＯＰＩＸ−１７）上場投信,ETF・ETN
1618,ＮＥＸＴ　ＦＵＮＤＳ　エネルギー資源（ＴＯＰＩＸ−１７）上場投信,ETF・ETN
1619,ＮＥＸＴ　ＦＵＮＤＳ　建設・資材（ＴＯＰＩＸ−１７）上場投信,ETF・ETN
1620,ＮＥＸＴ　ＦＵＮＤＳ　素材・化学（ＴＯＰＩＸ−１７）上場投信,ETF・ETN
1621,ＮＥＸＴ　ＦＵＮＤＳ　医薬品（ＴＯＰＩＸ−１７）上場投信,ETF・ETN
1622,ＮＥＸＴ　ＦＵＮＤＳ　自動車・輸送機（ＴＯＰＩＸ−１７）上場投信,ETF・ETN
1623,ＮＥＸＴ　ＦＵＮＤＳ　鉄鋼・非鉄（ＴＯＰＩＸ−１７）上場投信,ETF・ETN
1624,ＮＥＸＴ　ＦＵＮＤＳ　機械（ＴＯＰＩＸ−１７）上場投信,ETF・ETN
1625,ＮＥＸＴ　ＦＵＮＤＳ　電機・精密（ＴＯＰＩＸ−１７）上場投信,ETF・ETN
1626,ＮＥＸＴ　ＦＵＮＤＳ　情報通信・サービスその他（ＴＯＰＩＸ−１７）上場投信,ETF・ETN
1627,ＮＥＸＴ　ＦＵＮＤＳ　電力・ガス（ＴＯＰＩＸ−１７）上場投信,ETF・ETN
1628,ＮＥＸＴ　ＦＵＮＤＳ　運輸・物流（ＴＯＰＩＸ−１７）上場投信,ETF・ETN
1629,ＮＥＸＴ　ＦＵＮＤＳ　商社・卸売（ＴＯＰＩＸ−１７）上場投信,ETF・ETN
1630,ＮＥＸＴ　ＦＵＮＤＳ　小売（ＴＯＰＩＸ−１７）上場投信,ETF・ETN
1631,ＮＥＸＴ　ＦＵＮＤＳ　銀行（ＴＯＰＩＸ−１７）上場投信,ETF・ETN
1632,ＮＥＸＴ　ＦＵＮＤＳ　金融（除く銀行）（ＴＯＰＩＸ−１７）上場投信,ETF・ETN
1633,ＮＥＸＴ　ＦＵＮＤＳ　不動産（ＴＯＰＩＸ−１７）上場投信,ETF・ETN
1651,ダイワ上場投信−ＴＯＰＩＸ高配当４０指数,ETF・ETN
1652,ダイワ上場投信−ＭＳＣＩ日本株女性活躍指数（ＷＩＮ）,ETF・ETN
1653,ダイワ上場投信−ＭＳＣＩジャパンＥＳＧセレクト・リーダーズ指数,ETF・ETN
1654,ダイワ上場投信−ＦＴＳＥ　Ｂｌｏｓｓｏｍ　Ｊａｐａｎ　Ｉｎｄｅｘ,ETF・ETN
1655,ｉシェアーズ　Ｓ＆Ｐ　５００　米国株　ＥＴＦ,ETF・ETN
1656,ｉシェアーズ・コア　米国債７−１０年　ＥＴＦ,ETF・ETN
1657,ｉシェアーズ・コア　ＭＳＣＩ　先進国株（除く日本）　ＥＴＦ,ETF・ETN
1658,ｉシェアーズ・コア　ＭＳＣＩ　新興国株　ＥＴＦ,ETF・ETN
1659,ｉシェアーズ　米国リート　ＥＴＦ,ETF・ETN
1660,ＭＡＸＩＳ高利回りＪリート上場投信,ETF・ETN
1662,石油資源開発,市場第一部（内国株）
1663,Ｋ＆Ｏエナジーグループ,市場第一部（内国株）
1670,ＭＡＸＩＳ　Ｓ＆Ｐ三菱系企業群上場投信,ETF・ETN
1671,ＷＴＩ原油価格連動型上場投信,ETF・ETN
1672,ＷｉｓｄｏｍＴｒｅｅ　金上場投資信託,ETF・ETN
1673,ＷｉｓｄｏｍＴｒｅｅ　銀上場投資信託,ETF・ETN
1674,ＷｉｓｄｏｍＴｒｅｅ　白金上場投資信託,ETF・ETN
1675,ＷｉｓｄｏｍＴｒｅｅ　パラジウム上場投資信託,ETF・ETN
1676,ＷｉｓｄｏｍＴｒｅｅ　貴金属バスケット上場投資信託,ETF・ETN
1677,上場インデックスファンド海外債券（ＦＴＳＥ　ＷＧＢＩ）毎月分配型,ETF・ETN
1678,ＮＥＸＴ　ＦＵＮＤＳ　インド株式指数・Ｎｉｆｔｙ　５０連動型上場投信,ETF・ETN
1679,Ｓｉｍｐｌｅ−Ｘ　ＮＹダウ・ジョーンズ・インデックス上場投信,ETF・ETN
1680,上場インデックスファンド海外先進国株式（ＭＳＣＩ−ＫＯＫＵＳＡＩ）,ETF・ETN
1681,上場インデックスファンド海外新興国株式（ＭＳＣＩエマージング）,ETF・ETN
1682,ＮＥＸＴ　ＦＵＮＤＳ　日経・ＪＰＸ白金指数連動型上場投信,ETF・ETN
1684,ＷｉｓｄｏｍＴｒｅｅ　ブロード上場投資信託,ETF・ETN
1685,ＷｉｓｄｏｍＴｒｅｅ　エネルギー上場投資信託,ETF・ETN
1686,ＷｉｓｄｏｍＴｒｅｅ　産業用金属上場投資信託,ETF・ETN
1687,ＷｉｓｄｏｍＴｒｅｅ　農産物上場投資信託,ETF・ETN
1688,ＷｉｓｄｏｍＴｒｅｅ　穀物上場投資信託,ETF・ETN
1689,ＷｉｓｄｏｍＴｒｅｅ　天然ガス上場投資信託,ETF・ETN
1690,ＷｉｓｄｏｍＴｒｅｅ　ＷＴＩ　原油上場投資信託,ETF・ETN
1691,ＷｉｓｄｏｍＴｒｅｅ　ガソリン上場投資信託,ETF・ETN
1692,ＷｉｓｄｏｍＴｒｅｅ　アルミニウム上場投資信託,ETF・ETN
1693,ＷｉｓｄｏｍＴｒｅｅ　銅上場投資信託,ETF・ETN
1694,ＷｉｓｄｏｍＴｒｅｅ　ニッケル上場投資信託,ETF・ETN
1695,ＷｉｓｄｏｍＴｒｅｅ　小麦上場投資信託,ETF・ETN
1696,ＷｉｓｄｏｍＴｒｅｅ　とうもろこし上場投資信託,ETF・ETN
1697,ＷｉｓｄｏｍＴｒｅｅ　大豆上場投資信託,ETF・ETN
1698,上場インデックスファンド日本高配当（東証配当フォーカス１００）,ETF・ETN
1699,ＮＥＸＴ　ＦＵＮＤＳ　ＮＯＭＵＲＡ原油インデックス連動型上場投信,ETF・ETN
1711,省電舎ホールディングス,市場第二部（内国株）
1712,ダイセキ環境ソリューション,市場第一部（内国株）
1716,第一カッター興業,市場第一部（内国株）
1717,明豊ファシリティワークス,市場第一部（内国株）
1718,美樹工業,JASDAQ(スタンダード・内国株）
1719,安藤・間,市場第一部（内国株）
1720,東急建設,市場第一部（内国株）
1721,コムシスホールディングス,市場第一部（内国株）
1723,日本電技,JASDAQ(スタンダード・内国株）
1724,シンクレイヤ,JASDAQ(スタンダード・内国株）
1726,ビーアールホールディングス,市場第一部（内国株）
1728,ミサワホーム中国,JASDAQ(スタンダード・内国株）
1730,麻生フオームクリート,JASDAQ(スタンダード・内国株）
1736,オーテック,JASDAQ(スタンダード・内国株）
1737,三井金属エンジニアリング,市場第二部（内国株）
1739,シード平和,JASDAQ(グロース・内国株）
1743,コーアツ工業,市場第二部（内国株）
1757,クレアホールディングス,市場第二部（内国株）
1758,太洋基礎工業,JASDAQ(スタンダード・内国株）
1762,高松コンストラクショングループ,市場第一部（内国株）
1764,工藤建設,市場第二部（内国株）
1766,東建コーポレーション,市場第一部（内国株）
1768,ソネック,市場第一部（内国株）
1770,藤田エンジニアリング,JASDAQ(スタンダード・内国株）
1775,富士古河Ｅ＆Ｃ,市場第二部（内国株）
1776,三井住建道路,市場第二部（内国株）
1780,ヤマウラ,市場第一部（内国株）
1782,常磐開発,JASDAQ(スタンダード・内国株）
1783,アジアゲートホールディングス,JASDAQ(スタンダード・内国株）
1787,ナカボーテック,JASDAQ(スタンダード・内国株）
1788,三東工業社,JASDAQ(スタンダード・内国株）
1789,ＥＴＳホールディングス,JASDAQ(スタンダード・内国株）
1793,大本組,JASDAQ(スタンダード・内国株）
1795,マサル,JASDAQ(スタンダード・内国株）
1798,守谷商会,JASDAQ(スタンダード・内国株）
1799,第一建設工業,JASDAQ(スタンダード・内国株）
1801,大成建設,市場第一部（内国株）
1802,大林組,市場第一部（内国株）
1803,清水建設,市場第一部（内国株）
1805,飛島建設,市場第一部（内国株）
1807,佐藤渡辺,JASDAQ(スタンダード・内国株）
1808,長谷工コーポレーション,市場第一部（内国株）
1810,松井建設,市場第一部（内国株）
1811,錢高組,市場第一部（内国株）
1812,鹿島建設,市場第一部（内国株）
1813,不動テトラ,市場第一部（内国株）
1814,大末建設,市場第一部（内国株）
1815,鉄建建設,市場第一部（内国株）
1820,西松建設,市場第一部（内国株）
1821,三井住友建設,市場第一部（内国株）
1822,大豊建設,市場第一部（内国株）
1824,前田建設工業,市場第一部（内国株）
1826,佐田建設,市場第一部（内国株）
1827,ナカノフドー建設,市場第一部（内国株）
1828,田辺工業,市場第二部（内国株）
1833,奥村組,市場第一部（内国株）
1835,東鉄工業,市場第一部（内国株）
1840,土屋ホールディングス,市場第二部（内国株）
1841,サンユー建設,JASDAQ(スタンダード・内国株）
1844,大盛工業,市場第二部（内国株）
1847,イチケン,市場第一部（内国株）
1848,富士ピー・エス,市場第一部（内国株）
1850,南海辰村建設,市場第二部（内国株）
1852,淺沼組,市場第一部（内国株）
1853,森組,市場第二部（内国株）
1860,戸田建設,市場第一部（内国株）
1861,熊谷組,市場第一部（内国株）
1866,北野建設,市場第一部（内国株）
1867,植木組,市場第一部（内国株）
1870,矢作建設工業,市場第一部（内国株）
1871,ピーエス三菱,市場第一部（内国株）
1873,日本ハウスホールディングス,市場第一部（内国株）
1878,大東建託,市場第一部（内国株）
1879,新日本建設,市場第一部（内国株）
1881,ＮＩＰＰＯ,市場第一部（内国株）
1882,東亜道路工業,市場第一部（内国株）
1883,前田道路,市場第一部（内国株）
1884,日本道路,市場第一部（内国株）
1885,東亜建設工業,市場第一部（内国株）
1887,日本国土開発,市場第一部（内国株）
1888,若築建設,市場第一部（内国株）
1890,東洋建設,市場第一部（内国株）
1893,五洋建設,市場第一部（内国株）
1897,金下建設,市場第二部（内国株）
1898,世紀東急工業,市場第一部（内国株）
1899,福田組,市場第一部（内国株）
1904,大成温調,JASDAQ(スタンダード・内国株）
1905,テノックス,JASDAQ(スタンダード・内国株）
1909,日本ドライケミカル,市場第一部（内国株）
1911,住友林業,市場第一部（内国株）
1914,日本基礎技術,市場第一部（内国株）
1921,巴コーポレーション,市場第一部（内国株）
1925,大和ハウス工業,市場第一部（内国株）
1926,ライト工業,市場第一部（内国株）
1928,積水ハウス,市場第一部（内国株）
1929,日特建設,市場第一部（内国株）
1930,北陸電気工事,市場第一部（内国株）
1934,ユアテック,市場第一部（内国株）
1938,日本リーテック,市場第一部（内国株）
1939,四電工,市場第一部（内国株）
1941,中電工,市場第一部（内国株）
1942,関電工,市場第一部（内国株）
1944,きんでん,市場第一部（内国株）
1945,東京エネシス,市場第一部（内国株）
1946,トーエネック,市場第一部（内国株）
1948,弘電社,市場第二部（内国株）
1949,住友電設,市場第一部（内国株）
1950,日本電設工業,市場第一部（内国株）
1951,協和エクシオ,市場第一部（内国株）
1952,新日本空調,市場第一部（内国株）
1954,日本工営,市場第一部（内国株）
1959,九電工,市場第一部（内国株）
1960,サンテック,市場第二部（内国株）
1961,三機工業,市場第一部（内国株）
1963,日揮ホールディングス,市場第一部（内国株）
1964,中外炉工業,市場第一部（内国株）
1965,テクノ菱和,市場第二部（内国株）
1966,高田工業所,市場第二部（内国株）
1967,ヤマト,市場第一部（内国株）
1968,太平電業,市場第一部（内国株）
1969,高砂熱学工業,市場第一部（内国株）
1971,中央ビルト工業,市場第二部（内国株）
1972,三晃金属工業,市場第一部（内国株）
1973,ＮＥＣネッツエスアイ,市場第一部（内国株）
1975,朝日工業社,市場第一部（内国株）
1976,明星工業,市場第一部（内国株）
1979,大氣社,市場第一部（内国株）
1980,ダイダン,市場第一部（内国株）
1981,協和日成,JASDAQ(スタンダード・内国株）
1982,日比谷総合設備,市場第一部（内国株）
1992,神田通信機,JASDAQ(スタンダード・内国株）
1994,高橋カーテンウォール工業,JASDAQ(スタンダード・内国株）
1997,暁飯島工業,JASDAQ(スタンダード・内国株）
2001,日本製粉,市場第一部（内国株）
2002,日清製粉グループ本社,市場第一部（内国株）
2003,日東富士製粉,市場第一部（内国株）
2004,昭和産業,市場第一部（内国株）
2009,鳥越製粉,市場第一部（内国株）
2031,ＮＥＸＴ　ＮＯＴＥＳ　香港ハンセン・ダブル・ブル　ＥＴＮ,ETF・ETN
2032,ＮＥＸＴ　ＮＯＴＥＳ　香港ハンセン・ベア　ＥＴＮ,ETF・ETN
2033,ＮＥＸＴ　ＮＯＴＥＳ　韓国ＫＯＳＰＩ・ダブル・ブル　ＥＴＮ,ETF・ETN
2034,ＮＥＸＴ　ＮＯＴＥＳ　韓国ＫＯＳＰＩ・ベア　ＥＴＮ,ETF・ETN
2035,ＮＥＸＴ　ＮＯＴＥＳ　日経平均ＶＩ先物指数　ＥＴＮ,ETF・ETN
2036,ＮＥＸＴ　ＮＯＴＥＳ　金先物　ダブル・ブル　ＥＴＮ,ETF・ETN
2037,ＮＥＸＴ　ＮＯＴＥＳ　金先物　ベア　ＥＴＮ,ETF・ETN
2038,ＮＥＸＴ　ＮＯＴＥＳ　ドバイ原油先物　ダブル・ブル　ＥＴＮ,ETF・ETN
2039,ＮＥＸＴ　ＮＯＴＥＳ　ドバイ原油先物　ベア　ＥＴＮ,ETF・ETN
2040,ＮＥＸＴ　ＮＯＴＥＳ　ＮＹダウ・ダブル・ブル・ドルヘッジ　ＥＴＮ,ETF・ETN
2041,ＮＥＸＴ　ＮＯＴＥＳ　ＮＹダウ・ベア・ドルヘッジ　ＥＴＮ,ETF・ETN
2042,ＮＥＸＴ　ＮＯＴＥＳ　東証マザーズ　ＥＴＮ,ETF・ETN
